"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių apskritis","Miestas ir kaimas","asmenys","261033"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių apskritis","Miestas","asmenys","167102"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių apskritis","Kaimas","asmenys","93931"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių apskritis","Miestas ir kaimas","asmenys","261881"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių apskritis","Miestas","asmenys","167808"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių apskritis","Kaimas","asmenys","94073"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių apskritis","Miestas ir kaimas","asmenys","261459"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių apskritis","Miestas","asmenys","169526"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių apskritis","Kaimas","asmenys","91933"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Akmenės r. sav.","Miestas ir kaimas","asmenys","18672"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Akmenės r. sav.","Miestas","asmenys","11648"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Akmenės r. sav.","Kaimas","asmenys","7024"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Akmenės r. sav.","Miestas ir kaimas","asmenys","19477"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Akmenės r. sav.","Miestas","asmenys","12515"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Akmenės r. sav.","Kaimas","asmenys","6962"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Akmenės r. sav.","Miestas ir kaimas","asmenys","19266"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Akmenės r. sav.","Miestas","asmenys","12503"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Akmenės r. sav.","Kaimas","asmenys","6763"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Joniškio r. sav.","Miestas ir kaimas","asmenys","20543"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Joniškio r. sav.","Miestas","asmenys","9476"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Joniškio r. sav.","Kaimas","asmenys","11067"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Joniškio r. sav.","Miestas ir kaimas","asmenys","21151"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Joniškio r. sav.","Miestas","asmenys","9848"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Joniškio r. sav.","Kaimas","asmenys","11303"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Joniškio r. sav.","Miestas ir kaimas","asmenys","20613"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Joniškio r. sav.","Miestas","asmenys","9714"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Joniškio r. sav.","Kaimas","asmenys","10899"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kelmės r. sav.","Miestas ir kaimas","asmenys","25156"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kelmės r. sav.","Miestas","asmenys","9901"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kelmės r. sav.","Kaimas","asmenys","15255"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kelmės r. sav.","Miestas ir kaimas","asmenys","25747"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kelmės r. sav.","Miestas","asmenys","10047"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kelmės r. sav.","Kaimas","asmenys","15700"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kelmės r. sav.","Miestas ir kaimas","asmenys","25136"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kelmės r. sav.","Miestas","asmenys","9957"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kelmės r. sav.","Kaimas","asmenys","15179"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Pakruojo r. sav.","Miestas ir kaimas","asmenys","18383"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Pakruojo r. sav.","Miestas","asmenys","5561"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Pakruojo r. sav.","Kaimas","asmenys","12822"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Pakruojo r. sav.","Miestas ir kaimas","asmenys","18679"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Pakruojo r. sav.","Miestas","asmenys","5861"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Pakruojo r. sav.","Kaimas","asmenys","12818"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Pakruojo r. sav.","Miestas ir kaimas","asmenys","18218"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Pakruojo r. sav.","Miestas","asmenys","5745"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Pakruojo r. sav.","Kaimas","asmenys","12473"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Radviliškio r. sav.","Miestas ir kaimas","asmenys","34845"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Radviliškio r. sav.","Miestas","asmenys","17717"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Radviliškio r. sav.","Kaimas","asmenys","17128"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Radviliškio r. sav.","Miestas ir kaimas","asmenys","34770"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Radviliškio r. sav.","Miestas","asmenys","17522"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Radviliškio r. sav.","Kaimas","asmenys","17248"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Radviliškio r. sav.","Miestas ir kaimas","asmenys","34391"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Radviliškio r. sav.","Miestas","asmenys","17546"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Radviliškio r. sav.","Kaimas","asmenys","16845"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių m. sav.","Miestas ir kaimas","asmenys","102031"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių m. sav.","Miestas","asmenys","102031"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių m. sav.","Kaimas","asmenys",
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių m. sav.","Miestas ir kaimas","asmenys","101151"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių m. sav.","Miestas","asmenys","101151"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių m. sav.","Kaimas","asmenys",
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių m. sav.","Miestas ir kaimas","asmenys","103386"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių m. sav.","Miestas","asmenys","103386"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių m. sav.","Kaimas","asmenys",
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių r. sav.","Miestas ir kaimas","asmenys","41403"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių r. sav.","Miestas","asmenys","10768"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių r. sav.","Kaimas","asmenys","30635"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių r. sav.","Miestas ir kaimas","asmenys","40906"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių r. sav.","Miestas","asmenys","10864"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių r. sav.","Kaimas","asmenys","30042"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių r. sav.","Miestas ir kaimas","asmenys","40449"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių r. sav.","Miestas","asmenys","10675"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Šiaulių r. sav.","Kaimas","asmenys","29774"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Tauragės apskritis","Miestas ir kaimas","asmenys","91067"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Tauragės apskritis","Miestas","asmenys","39302"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Tauragės apskritis","Kaimas","asmenys","51765"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Tauragės apskritis","Miestas ir kaimas","asmenys","91928"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Tauragės apskritis","Miestas","asmenys","39999"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Tauragės apskritis","Kaimas","asmenys","51929"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Tauragės apskritis","Miestas ir kaimas","asmenys","90955"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Tauragės apskritis","Miestas","asmenys","40454"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Tauragės apskritis","Kaimas","asmenys","50501"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Jurbarko r. sav.","Miestas ir kaimas","asmenys","24506"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Jurbarko r. sav.","Miestas","asmenys","10073"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Jurbarko r. sav.","Kaimas","asmenys","14433"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Jurbarko r. sav.","Miestas ir kaimas","asmenys","24941"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Jurbarko r. sav.","Miestas","asmenys","10939"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Jurbarko r. sav.","Kaimas","asmenys","14002"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Jurbarko r. sav.","Miestas ir kaimas","asmenys","24810"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Jurbarko r. sav.","Miestas","asmenys","11236"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Jurbarko r. sav.","Kaimas","asmenys","13574"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Pagėgių sav.","Miestas ir kaimas","asmenys","7247"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Pagėgių sav.","Miestas","asmenys","1737"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Pagėgių sav.","Kaimas","asmenys","5510"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Pagėgių sav.","Miestas ir kaimas","asmenys","7331"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Pagėgių sav.","Miestas","asmenys","1756"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Pagėgių sav.","Kaimas","asmenys","5575"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Pagėgių sav.","Miestas ir kaimas","asmenys","7173"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Pagėgių sav.","Miestas","asmenys","1746"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Pagėgių sav.","Kaimas","asmenys","5427"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šilalės r. sav.","Miestas ir kaimas","asmenys","21699"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šilalės r. sav.","Miestas","asmenys","4636"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Šilalės r. sav.","Kaimas","asmenys","17063"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šilalės r. sav.","Miestas ir kaimas","asmenys","21857"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šilalės r. sav.","Miestas","asmenys","4730"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Šilalės r. sav.","Kaimas","asmenys","17127"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Šilalės r. sav.","Miestas ir kaimas","asmenys","21373"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Šilalės r. sav.","Miestas","asmenys","4725"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Šilalės r. sav.","Kaimas","asmenys","16648"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Tauragės r. sav.","Miestas ir kaimas","asmenys","37615"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Tauragės r. sav.","Miestas","asmenys","22856"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Tauragės r. sav.","Kaimas","asmenys","14759"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Tauragės r. sav.","Miestas ir kaimas","asmenys","37799"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Tauragės r. sav.","Miestas","asmenys","22574"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Tauragės r. sav.","Kaimas","asmenys","15225"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Tauragės r. sav.","Miestas ir kaimas","asmenys","37599"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Tauragės r. sav.","Miestas","asmenys","22747"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Tauragės r. sav.","Kaimas","asmenys","14852"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Telšių apskritis","Miestas ir kaimas","asmenys","130166"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Telšių apskritis","Miestas","asmenys","77376"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Telšių apskritis","Kaimas","asmenys","52790"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Telšių apskritis","Miestas ir kaimas","asmenys","132649"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Telšių apskritis","Miestas","asmenys","80000"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Telšių apskritis","Kaimas","asmenys","52649"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Telšių apskritis","Miestas ir kaimas","asmenys","131386"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Telšių apskritis","Miestas","asmenys","79624"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Telšių apskritis","Kaimas","asmenys","51762"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Mažeikių r. sav.","Miestas ir kaimas","asmenys","50963"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Mažeikių r. sav.","Miestas","asmenys","35369"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Mažeikių r. sav.","Kaimas","asmenys","15594"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Mažeikių r. sav.","Miestas ir kaimas","asmenys","51860"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Mažeikių r. sav.","Miestas","asmenys","36042"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Mažeikių r. sav.","Kaimas","asmenys","15818"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Mažeikių r. sav.","Miestas ir kaimas","asmenys","51591"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Mažeikių r. sav.","Miestas","asmenys","35969"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Mažeikių r. sav.","Kaimas","asmenys","15622"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Plungės r. sav.","Miestas ir kaimas","asmenys","32864"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Plungės r. sav.","Miestas","asmenys","16691"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Plungės r. sav.","Kaimas","asmenys","16173"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Plungės r. sav.","Miestas ir kaimas","asmenys","33532"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Plungės r. sav.","Miestas","asmenys","17397"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Plungės r. sav.","Kaimas","asmenys","16135"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Plungės r. sav.","Miestas ir kaimas","asmenys","33233"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Plungės r. sav.","Miestas","asmenys","17375"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Plungės r. sav.","Kaimas","asmenys","15858"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Rietavo sav.","Miestas ir kaimas","asmenys","7209"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Rietavo sav.","Miestas","asmenys","3135"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Rietavo sav.","Kaimas","asmenys","4074"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Rietavo sav.","Miestas ir kaimas","asmenys","7339"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Rietavo sav.","Miestas","asmenys","3205"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Rietavo sav.","Kaimas","asmenys","4134"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Rietavo sav.","Miestas ir kaimas","asmenys","7276"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Rietavo sav.","Miestas","asmenys","3229"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Rietavo sav.","Kaimas","asmenys","4047"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Telšių r. sav.","Miestas ir kaimas","asmenys","39130"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Telšių r. sav.","Miestas","asmenys","22181"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Telšių r. sav.","Kaimas","asmenys","16949"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Telšių r. sav.","Miestas ir kaimas","asmenys","39918"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Telšių r. sav.","Miestas","asmenys","23356"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Telšių r. sav.","Kaimas","asmenys","16562"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Telšių r. sav.","Miestas ir kaimas","asmenys","39286"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Telšių r. sav.","Miestas","asmenys","23051"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Telšių r. sav.","Kaimas","asmenys","16235"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos apskritis","Miestas ir kaimas","asmenys","124214"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos apskritis","Miestas","asmenys","70200"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos apskritis","Kaimas","asmenys","54014"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos apskritis","Miestas ir kaimas","asmenys","126683"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos apskritis","Miestas","asmenys","72177"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos apskritis","Kaimas","asmenys","54506"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos apskritis","Miestas ir kaimas","asmenys","125639"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos apskritis","Miestas","asmenys","72359"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos apskritis","Kaimas","asmenys","53280"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Anykščių r. sav.","Miestas ir kaimas","asmenys","22857"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Anykščių r. sav.","Miestas","asmenys","9326"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Anykščių r. sav.","Kaimas","asmenys","13531"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Anykščių r. sav.","Miestas ir kaimas","asmenys","23019"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Anykščių r. sav.","Miestas","asmenys","9472"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Anykščių r. sav.","Kaimas","asmenys","13547"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Anykščių r. sav.","Miestas ir kaimas","asmenys","22697"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Anykščių r. sav.","Miestas","asmenys","9468"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Anykščių r. sav.","Kaimas","asmenys","13229"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Ignalinos r. sav.","Miestas ir kaimas","asmenys","14248"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Ignalinos r. sav.","Miestas","asmenys","5523"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Ignalinos r. sav.","Kaimas","asmenys","8725"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Ignalinos r. sav.","Miestas ir kaimas","asmenys","14627"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Ignalinos r. sav.","Miestas","asmenys","5775"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Ignalinos r. sav.","Kaimas","asmenys","8852"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Ignalinos r. sav.","Miestas ir kaimas","asmenys","14263"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Ignalinos r. sav.","Miestas","asmenys","5717"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Ignalinos r. sav.","Kaimas","asmenys","8546"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Molėtų r. sav.","Miestas ir kaimas","asmenys","16974"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Molėtų r. sav.","Miestas","asmenys","5455"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Molėtų r. sav.","Kaimas","asmenys","11519"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Molėtų r. sav.","Miestas ir kaimas","asmenys","17095"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Molėtų r. sav.","Miestas","asmenys","5760"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Molėtų r. sav.","Kaimas","asmenys","11335"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Molėtų r. sav.","Miestas ir kaimas","asmenys","16854"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Molėtų r. sav.","Miestas","asmenys","5791"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Molėtų r. sav.","Kaimas","asmenys","11063"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos r. sav.","Miestas ir kaimas","asmenys","37118"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos r. sav.","Miestas","asmenys","25359"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos r. sav.","Kaimas","asmenys","11759"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos r. sav.","Miestas ir kaimas","asmenys","37442"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos r. sav.","Miestas","asmenys","25285"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos r. sav.","Kaimas","asmenys","12157"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos r. sav.","Miestas ir kaimas","asmenys","37459"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos r. sav.","Miestas","asmenys","25458"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Utenos r. sav.","Kaimas","asmenys","12001"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Visagino sav.","Miestas ir kaimas","asmenys","18210"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Visagino sav.","Miestas","asmenys","17985"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Visagino sav.","Kaimas","asmenys","225"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Visagino sav.","Miestas ir kaimas","asmenys","19550"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Visagino sav.","Miestas","asmenys","19360"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Visagino sav.","Kaimas","asmenys","190"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Visagino sav.","Miestas ir kaimas","asmenys","19707"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Visagino sav.","Miestas","asmenys","19508"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Visagino sav.","Kaimas","asmenys","199"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Zarasų r. sav.","Miestas ir kaimas","asmenys","14807"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Zarasų r. sav.","Miestas","asmenys","6552"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Zarasų r. sav.","Kaimas","asmenys","8255"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Zarasų r. sav.","Miestas ir kaimas","asmenys","14950"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Zarasų r. sav.","Miestas","asmenys","6525"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Zarasų r. sav.","Kaimas","asmenys","8425"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Zarasų r. sav.","Miestas ir kaimas","asmenys","14659"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Zarasų r. sav.","Miestas","asmenys","6417"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Zarasų r. sav.","Kaimas","asmenys","8242"
